DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBLG,2022-09,15626,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBLG,2022-11,6776,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBLG,2023-01,6813,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBLG,2023-03,8427,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBLG,2023-05,19298,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2022-06,36538,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2022-08,45904,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2022-10,33132,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2022-12,19968,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2023-02,18899,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2023-04,33804,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BE_EBOS,2023-06,37556,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBBG,2022-07,477092,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBBG,2022-09,237344,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBBG,2022-11,3798,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBBG,2023-01,4625,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBBG,2023-03,7789,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBSF,2022-07,566618,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBSF,2022-09,572647,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBSF,2022-11,453164,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBSF,2023-01,497792,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBSF,2023-03,547851,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBWN,2022-07,228376,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBWN,2022-09,156731,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBWN,2022-11,66663,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,BG_LBWN,2023-01,73919,
